case,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
sample_5_4,recovery,MEASURED,2026-09-01,2026-09-11,9,1.025859263367592,0.025859263367592034,1.5408634508110133,0.054463664276718671,0.24986623309327549,1.4770527588854894,0,0,0,0,0,0.99999933930784357,0
sample_5_5,full,MEASURED,2023-01-03,2026-09-11,896,9.9326090698977989,8.9326090698977989,0.86363917345739161,0.49757845144762236,0.49757845144762236,1.3304268776218591,11,2.9827394209354123,0.9927794676419377,517.24637424459991,1987.421709999807,0.99599021248215158,0
sample_5_5,bull,MEASURED,2023-01-03,2026-06-30,843,11.980595882867705,10.980595882867705,1.0379562331485994,0.43311637651120805,0.43311637651120805,1.5067958629301808,11,3.1536499215070641,0.9927794676419377,517.24637424459991,1987.421709999807,0.99577290582717115,0
sample_5_5,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.7959609470430683,-0.2040390529569317,-0.69600435473436728,0.49757845144762236,0.49757845144762236,-0.8156020221144108,0,0,0,0,0,0.99945908124074523,0
sample_5_5,july_august,MEASURED,2026-07-01,2026-08-31,44,0.82757209340607585,-0.17242790659392415,-0.67800760957348405,0.46408842645588066,0.49757845144762236,-0.70557544208310441,0,0,0,0,0,0.99943934765567521,0
sample_5_5,recovery,MEASURED,2026-09-01,2026-09-11,9,1.001795522110805,0.0017955221108050257,0.067716909094753364,0.053138870329487609,0.26537238893895454,0.35120695640733668,0,0,0,0,0,0.99948216387255029,0
sample_8_0,full,MEASURED,2023-01-03,2026-09-11,896,4.7159167058203106,3.7159167058203106,0.52280021884602901,0.46431900358058009,0.46431900358058009,1.173860599692873,8,2.1692650334075725,0.99577777300653214,517.38224558019988,1987.94376999972,0.98505627281553065,0
sample_8_0,bull,MEASURED,2023-01-03,2026-06-30,843,6.902484067948917,5.902484067948917,0.73995906987772697,0.46431900358058009,0.46431900358058009,1.5480265304872793,8,2.293563579277865,0.99577777300653214,517.38224558019988,1987.94376999972,0.9841743664413759,0
sample_8_0,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.89319863753281126,-0.10680136246718874,-0.44530539435785821,0.38011066624953072,0.38011066624953072,-0.30705020252714527,0,0,0,0,0,0.99911775539875602,0
sample_8_0,july_august,MEASURED,2026-07-01,2026-08-31,44,0.74838539582684149,-0.25161460417315851,-0.82368085808852387,0.38011066624953072,0.38011066624953072,-1.594117009072797,0,0,0,0,0,0.99909871570431652,0
sample_8_0,recovery,MEASURED,2026-09-01,2026-09-11,9,0.91292564907146834,-0.087074350928531663,-0.96411579640245204,0.10079663656769455,0.32704933492888688,-5.6645596781953227,0,0,0,0,0,0.9990095601828638,0
sample_8_1,full,MEASURED,2023-01-03,2026-09-11,896,13.210157946557004,12.210157946557004,1.0134614503634851,0.4057597907315964,0.4057597907315964,1.6861898467617502,8,2.1692650334075725,0.89886342857292656,514.7346778573999,1977.7709899997812,0.95325490957537007,0
sample_8_1,bull,MEASURED,2023-01-03,2026-06-30,843,18.64941351318258,17.64941351318258,1.3136300794603257,0.4057597907315964,0.4057597907315964,2.0329667249076695,8,2.293563579277865,0.89886342857292656,514.7346778573999,1977.7709899997812,0.95035962579178479,0
sample_8_1,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.72659901369735058,-0.27340098630264942,-0.81108949789728979,0.31746376752235872,0.31746376752235872,-1.7895157062417706,0,0,0,0,0,0.99933764767566935,0
sample_8_1,july_august,MEASURED,2026-07-01,2026-08-31,44,0.70910221445775123,-0.29089778554224877,-0.87233007688370401,0.31746376752235872,0.31746376752235872,-2.1945939266932193,0,0,0,0,0,0.99931956957672452,0
sample_8_1,recovery,MEASURED,2026-09-01,2026-09-11,9,0.99892754772426684,-0.00107245227573316,-0.038434255317690069,0.051426558039617265,0.32736447173008143,0.1112940174265168,0,0,0,0,0,0.99924148618680775,0
sample_8_2,full,MEASURED,2023-01-03,2026-09-11,896,3.3803058077066992,2.3803058077066992,0.39133181826618424,0.51311994772401914,0.51311994772401914,0.99136667627328168,9,2.4404231625835191,0.92097553998874271,516.12904683339991,1983.1285899997845,0.89401978347514266,0
sample_8_2,bull,MEASURED,2023-01-03,2026-06-30,843,5.3281925422739169,4.3281925422739169,0.61550070720563066,0.40737994827370894,0.40737994827370894,1.4454358372793692,9,2.5802590266875982,0.92097553998874271,516.12904683339991,1983.1285899997845,0.88748867376855223,0
sample_8_2,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.75611160997988613,-0.24388839002011387,-0.76747020661412657,0.51311994772401914,0.51311994772401914,-1.0469707628354523,0,0,0,0,0,0.99799768439721592,0
sample_8_2,july_august,MEASURED,2026-07-01,2026-08-31,44,0.66734564671991414,-0.33265435328008586,-0.91123032872022014,0.51311994772401914,0.51311994772401914,-2.0185222861721308,0,0,0,0,0,0.99791143813969896,0
sample_8_2,recovery,MEASURED,2026-09-01,2026-09-11,9,0.95066006249282753,-0.049339937507172471,-0.84246674872859839,0.10588835887087755,0.40331848861088204,-2.5038075373165363,0,0,0,0,0,0.99785230318794915,0
sample_8_3,full,MEASURED,2023-01-03,2026-09-11,896,4.4290358023227343,3.4290358023227343,0.49710407019307357,0.45263788610741207,0.45263788610741207,1.1536626996792441,9,2.4404231625835191,0.9876400965840797,516.89084086639991,1986.0556399997895,0.98338749042673168,0
sample_8_3,bull,MEASURED,2023-01-03,2026-06-30,843,6.7047874644542134,5.7047874644542134,0.72552327532881544,0.45263788610741207,0.45263788610741207,1.5835514287092158,9,2.5802590266875982,0.9876400965840797,516.89084086639991,1986.0556399997895,0.9824199346254765,0
sample_8_3,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.79584448931681906,-0.20415551068318094,-0.69623636226853147,0.4411269691490608,0.4411269691490608,-0.87627423599199916,0,0,0,0,0,0.99882937870346122,0
sample_8_3,july_august,MEASURED,2026-07-01,2026-08-31,44,0.71378813448199852,-0.28621186551800148,-0.86719442002610536,0.4411269691490608,0.4411269691490608,-1.7101909253056184,0,0,0,0,0,0.99878907042488307,0
sample_8_3,recovery,MEASURED,2026-09-01,2026-09-11,9,0.92545403009439742,-0.074545969905602583,-0.94096481444472335,0.11120473283981469,0.36558848431730184,-4.1620665822891301,0,0,0,0,0,0.99871860382000477,0
sample_8_4,full,MEASURED,2023-01-03,2026-09-11,896,10.084665687122863,9.0846656871228628,0.87133256902591039,0.41090445547397492,0.41090445547397492,1.5107764810473532,12,3.2538975501113589,0.89885554127230649,515.05404810859989,1978.9981099997735,0.93461662061773243,0
sample_8_4,bull,MEASURED,2023-01-03,2026-06-30,843,14.000992637610528,13.000992637610528,1.1310739373810326,0.41090445547397492,0.41090445547397492,1.828773152734043,11,3.1536499215070641,0.88593302102025917,449.99525270699996,1729.0219499998102,0.93079687906376685,0
sample_8_4,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.75381010910990109,-0.24618989089009891,-0.77113971870456621,0.36277925027974867,0.36277925027974867,-1.342590854696472,1,5.2178571428571434,0.012922520252047303,65.058795401599994,249.97615999996339,0.99396452737338636,0
sample_8_4,july_august,MEASURED,2026-07-01,2026-08-31,44,0.70531151111438817,-0.29468848888561183,-0.87636256131309898,0.36277925027974867,0.36277925027974867,-2.0500486440315742,1,5.9877049180327875,0.012922520252047303,65.058795401599994,249.97615999996339,0.99461890836123534,0
sample_8_4,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0212256316153829,0.021225631615382934,1.1536262325097577,0.046533240552989796,0.32750891909709035,1.6172081553174584,0,0,0,0,0,0.99905456164871809,0
sample_8_5,full,MEASURED,2023-01-03,2026-09-11,896,11.19086701291846,10.19086701291846,0.92489891670186108,0.41445388810259542,0.41445388810259542,1.5630925625595535,12,3.2538975501113589,0.96551058749809082,518.01248338839991,1990.3653399998486,0.98140805000483211,0
sample_8_5,bull,MEASURED,2023-01-03,2026-06-30,843,15.31485023281015,14.31485023281015,1.1865853361011234,0.41445388810259542,0.41445388810259542,1.8824159023938829,12,3.4403453689167973,0.96551058749809082,518.01248338839991,1990.3653399998486,0.98025911187028081,0
sample_8_5,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.70192478786628676,-0.29807521213371324,-0.84225115000213857,0.38289006848208351,0.38289006848208351,-1.8434984615646308,0,0,0,0,0,0.99969742006155371,0
sample_8_5,july_august,MEASURED,2026-07-01,2026-08-31,44,0.69137208264134653,-0.30862791735865347,-0.89029111796319849,0.37734348087699821,0.38289006848208351,-2.1476692401921778,0,0,0,0,0,0.99968666576200249,0
sample_8_5,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0569127616592378,0.056912761659237754,6.5514378866420984,0.059509277023042984,0.35556317205749011,3.3824519708380718,0,0,0,0,0,0.99966313379496718,0
sample_13_0,full,MEASURED,2023-01-03,2026-09-11,896,9.8113397700777778,8.8113397700777778,0.85744171459777685,0.45216884574604954,0.45216884574604954,1.5231182831861567,15,4.0673719376391988,0.86159380080936876,516.99724035959991,1986.4644599997835,0.94069402963240811,0
sample_13_0,bull,MEASURED,2023-01-03,2026-06-30,843,14.215309460382379,13.215309460382379,1.1403755855050441,0.45216884574604954,0.45216884574604954,1.8824372477448916,15,4.3004317111459969,0.86159380080936876,516.99724035959991,1986.4644599997835,0.93699889125322711,0
sample_13_0,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.76046884021574379,-0.23953115978425621,-0.76039280355896854,0.38735950499268379,0.38735950499268379,-1.2829558042512721,0,0,0,0,0,0.9994901552288471,0
sample_13_0,july_august,MEASURED,2026-07-01,2026-08-31,44,0.70085866558130905,-0.29914133441869095,-0.88096335694089489,0.38735950499268379,0.38735950499268379,-2.0654877618842669,0,0,0,0,0,0.99947499326365241,0
sample_13_0,recovery,MEASURED,2026-09-01,2026-09-11,9,0.98478528320438141,-0.015214716795618588,-0.42878433825077744,0.060044183220121949,0.34122382054626521,-1.011139803585178,0,0,0,0,0,0.99943172450739681,0
sample_13_1,full,MEASURED,2023-01-03,2026-09-11,896,17.283239529833484,16.283239529833484,1.1656691996478497,0.43603308818250341,0.43603308818250341,1.6891969092094308,15,4.0673719376391988,0.95680586748914309,517.50284225639996,1988.4071399998063,0.99284811434438935,0
sample_13_1,bull,MEASURED,2023-01-03,2026-06-30,843,23.355536156491137,22.355536156491137,1.4678066935270646,0.43603308818250341,0.43603308818250341,1.9814415024174665,15,4.3004317111459969,0.95680586748914309,517.50284225639996,1988.4071399998063,0.99241483349662696,0
sample_13_1,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.72466546660679421,-0.27533453339320579,-0.81369787916995096,0.40219428054403827,0.40219428054403827,-1.5104194014292376,0,0,0,0,0,0.9997500877096539,0
sample_13_1,july_august,MEASURED,2026-07-01,2026-08-31,44,0.71909889609379496,-0.28090110390620504,-0.86116705764399437,0.39442993691970252,0.40219428054403827,-1.7858526190985713,0,0,0,0,0,0.99974203170063258,0
sample_13_1,recovery,MEASURED,2026-09-01,2026-09-11,9,1.0290741886684673,0.029074188668467338,1.8484931634442816,0.049044786330208479,0.32493692334441004,1.959414588479014,0,0,0,0,0,0.99972849112093976,0
sample_13_2,full,MEASURED,2023-01-03,2026-09-11,896,10.217060319664842,9.2170603196648422,0.87796259731073767,0.3830086932453276,0.3830086932453276,1.5574474228081836,12,3.2538975501113589,0.8049118180012178,472.97795444899998,1817.3286499997976,0.90355676105454863,0
sample_13_2,bull,MEASURED,2023-01-03,2026-06-30,843,13.282356305328079,12.282356305328079,1.0991228920645484,0.36623856143167166,0.36623856143167166,1.8639624138698727,12,3.4403453689167973,0.8049118180012178,472.97795444899998,1817.3286499997976,0.89804880147860444,0
sample_13_2,late_june_august,MEASURED,2026-06-22,2026-08-31,51,0.7703129607209569,-0.2296870392790431,-0.74376074302850226,0.3830086932453276,0.3830086932453276,-1.2206996126002769,0,0,0,0,0,0.99148883548607669,0
sample_13_2,july_august,MEASURED,2026-07-01,2026-08-31,44,0.75589229156701832,-0.24410770843298168,-0.81282241294248814,0.3727679556567336,0.3830086932453276,-1.4980017826560388,0,0,0,0,0,0.99123063961422619,0
