symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688012,2023-10-13,2023-10-12,31046.917631749646,662210.54899999988,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-12-01,2023-11-30,31046.917631749646,EXPECTED_RETURN_LEADER_REPLACEMENT,0.046883755746013722
sh688019,2023-10-13,2023-10-12,-58952.754321230343,654715.22115999996,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-12-05,2023-12-04,-58952.754321230343,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.090043353836772047
sz300054,2023-11-06,2023-11-03,-40778.065076636762,666786.12,1,2,FUNDED_EXPECTED_RETURN_ENTRY,2023-12-20,2023-12-19,-40778.065076636762,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.061156139657851251
sh688008,2023-12-12,2023-12-11,-45103.353566008736,595816.00077999989,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2023-12-27,2023-12-26,-45103.353566008736,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.075700138141578333
sh688300,2023-12-04,2023-12-01,-89101.871225707233,698345.14749999996,1,2,FUNDED_EXPECTED_RETURN_ENTRY,2023-12-28,2023-12-27,-89101.871225707233,FULL_EXIT_RETRY,-0.12759001984145274
sh688041,2023-11-29,2023-11-28,-14313.507664153934,601154.87431999994,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-01-10,2024-01-09,-14313.507664153934,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.023810016811965047
sh688498,2024-03-05,2024-03-04,-28785.647720861365,575807.23199999984,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2024-03-08,2024-03-07,-28785.647720861365,FULL_EXIT_RETRY,-0.049991813442283012
sz002281,2024-03-06,2024-03-05,101091.96092610259,607166.55999999994,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-03-13,2024-03-12,101091.96092610259,FULL_EXIT_RETRY,0.16649790615297161
sh688535,2024-03-05,2024-03-04,-81741.48953661311,582146.56499999994,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2024-03-28,2024-03-27,-81741.48953661311,FULL_EXIT_RETRY,-0.14041393430984708
sh688012,2024-03-15,2024-03-14,-94607.520115855383,1258776.0084899997,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-04-12,2024-04-11,-94607.520115855383,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.07515834388148572
sh688256,2024-03-06,2024-03-05,-53971.467367645237,604210.50690000004,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-04-12,2024-04-11,-53971.467367645237,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.08932560217225384
sz002371,2024-05-06,2024-04-30,-56620.876459709601,549819.2699999999,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2024-05-17,2024-05-16,-56620.876459709601,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.10298088762823757
sz300054,2024-05-06,2024-04-30,-24204.789428248769,559759.19999999995,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2024-06-26,2024-06-25,-24204.789428248769,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.043241432080524576
sz002409,2024-05-06,2024-04-30,-56586.586612556304,564724.15999999992,1,1,FUNDED_EXPECTED_RETURN_ENTRY|WAIT_FOR_OBSERVED_RISING_TREND,2024-07-25,2024-07-24,-56586.586612556304,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.10020217058281394
sh688300,2024-07-16,2024-07-15,-36159.124067369179,277422.84570000001,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-07-26,2024-07-25,-36159.124067369179,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.13033938851045812
sz002371,2024-06-06,2024-06-05,-3837.8873825009214,1015510.4959999997,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-08-08,2024-08-07,-3837.8873825009214,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.0037792690450940674
sh688120,2024-07-16,2024-07-15,-13232.523712118971,275015.74099999998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-08-21,2024-08-20,-13232.523712118971,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.048115513912052661
sh688361,2024-11-15,2024-11-14,-27355.417284887866,998188.91171999997,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-11-25,2024-11-22,-27355.417284887866,FULL_EXIT_RETRY,-0.02740505025020883
sh688019,2024-12-02,2024-11-29,-90487.632766955649,990161.17200000014,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2024-12-18,2024-12-17,-90487.632766955649,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.091386771493152066
sz300666,2024-11-15,2024-11-14,-154138.50487881759,1006685.6799999999,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2025-01-03,2025-01-02,-154138.50487881759,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.1531148281346543
sh688008,2024-12-30,2024-12-27,-7640.3619547012568,69784.714999999982,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2025-01-06,2025-01-03,-7640.3619547012568,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.1094847482676007
sh601869,2024-12-25,2024-12-24,-72180.373334184405,755473.71899999992,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2025-01-07,2025-01-06,-72180.373334184405,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.095543195638529435
sh688205,2025-01-17,2025-01-16,59514.603710031603,589027.45901999983,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2025-02-05,2025-01-27,59514.603710031603,FULL_EXIT_RETRY,0.10103875939680232
sh688300,2025-01-16,2025-01-15,-89484.235677255667,1012733.3416199998,1,1,FUNDED_EXPECTED_RETURN_ENTRY,2025-02-07,2025-02-06,-89484.235677255667,FULL_EXIT_RETRY|OBSERVED_TREND_EXIT,-0.088359128706194168
