case,group,treatment_wealth,control_wealth,buy_hold_wealth,treatment_control_wealth_ratio,treatment_buy_hold_wealth_ratio,treatment_mdd,control_mdd
sample_13_2,sampled_subset,3.763164946989813,1.4381907529817155,10.217060319664842,2.6165965392197568,0.36832169227256345,0.64776603451701664,0.44612059241764562
sample_13_3,sampled_subset,10.240251306039486,3.6087409303193874,9.8371183444832795,2.837624396920392,1.0409807981808297,0.5112308425022658,0.52613371470076564
sample_13_4,sampled_subset,8.2888336822169943,9.0119340021296193,17.424967608888508,0.91976191572843868,0.47568717878068506,0.42065363268625622,0.27856740916971401
sample_13_5,sampled_subset,1.1077060745724734,1.1734271264129918,4.4028596797444113,0.94399221701869218,0.2515878667831577,0.670424088815605,0.55110150438496075
sample_22_0,sampled_subset,5.9483624540058564,4.5210644143525842,10.898836002184581,1.3156995585203715,0.54577960919987756,0.35139029209371792,0.38098135689159968
sample_22_1,sampled_subset,2.500916068500358,2.7871277901225802,9.5531397194694758,0.89730943710706768,0.2617899603628161,0.58168430305763164,0.33654751095115282
sample_22_2,sampled_subset,6.9456708817362953,5.105160794219362,9.7736418941543448,1.3605195138223591,0.71065330170225793,0.46833924214598932,0.3169447739360558
sample_22_3,sampled_subset,7.9139944789264813,5.7835468169433328,11.517890981525351,1.3683635197249278,0.68710447872969937,0.4261561060252223,0.31556690912490382
sample_22_4,sampled_subset,4.2415639083383923,2.0029138253437861,11.360592117674637,2.1176966550771885,0.37335764407380068,0.61468617554352711,0.55743770255946323
sample_22_5,sampled_subset,2.3978491776518416,4.6355234556118958,9.376971185739329,0.51727689453257697,0.25571681198066759,0.56169405961952235,0.396785399017345
sample_26_0,sampled_subset,3.878128218996749,4.6599962735929807,8.9334253638056662,0.83221702149701704,0.43411435827395267,0.49017507084200768,0.27719228419467251
sample_26_1,sampled_subset,2.46399663807889,2.3588680336956576,8.2280398847127358,1.0445673954123353,0.29946338041662462,0.69627862166479038,0.40164423428606721
sample_26_2,sampled_subset,6.1217946732686288,3.1325094168398571,6.9139902103111837,1.9542781389128039,0.88542136842179597,0.59332761440368875,0.31313836880132928
sample_26_3,sampled_subset,8.2233816106164674,13.27501842812242,10.723355626345834,0.61946291488346794,0.76686644527695524,0.43937926834997693,0.34461853186746078
sample_26_4,sampled_subset,12.558374048694317,6.6538700283149366,10.75895032564414,1.8873789231309452,1.1672490037212293,0.37349256563554373,0.29208875709757798
sample_26_5,sampled_subset,8.0418593723669343,5.4193082293855284,10.883705218403875,1.4839272896051467,0.73888985515415262,0.46222048722059272,0.32426966649623501
