case_id,core_fraction,candidate_wealth,passive_wealth,wealth_ratio_to_passive,candidate_max_drawdown,passive_max_drawdown,drawdown_margin_to_passive,candidate_orders,passive_orders,candidate_turnover,passive_turnover,candidate_average_exposure,passive_average_exposure,candidate_blocked_attempts,passive_blocked_attempts,state_transitions,systemic_protection_signals,acute_damage_signals,funded_recovery_completions,minimum_exposure,final_exposure
remove_optical_leaders,0.59999999999999998,2.6048606952755931,3.0475364255241244,0.85474308804286114,0.39200323455685759,0.45691302126687872,0.064909786710021122,43,30,0.8852198622258689,0.89350629870933129,0.76255148226549929,0.91864379321066902,12,6,4,1,0,0,0,0.87810218416044206
trae_original,0.59999999999999998,5.4215596994276654,6.5952446401719929,0.82204072710277509,0.35803980786043843,0.41300817174346627,0.054968363883027838,58,25,1.2440269183277874,0.94866185012470583,0.84478103271386373,0.96759080952844023,38,0,6,1,0,0,0,0.95043795337523407
union_34,0.59999999999999998,4.9533351431496531,5.3597431143899605,0.92417398323640287,0.3795567165642848,0.39879079738928846,0.019234080825003663,60,32,1.0245092076438407,0.88683408344639536,0.85991016554421829,0.93533130222781979,22,0,4,1,0,0,0,0.95880598815985418
workbuddy_original,0.59999999999999998,5.3698757457549942,6.5872297678564582,0.81519484441824752,0.36432642282073713,0.41864834427969044,0.054321921458953315,61,26,1.3086335260577175,0.9835285732336313,0.85850825929542374,0.98464169183614703,40,0,6,1,0,0,0,0.95570284119074278
chatgpt_original,0.69999999999999996,5.2147525144057987,5.783832209789896,0.9016085400228494,0.34449123677325977,0.37608218466398968,0.031590947890729915,35,22,0.92897167718770501,0.89516643046113842,0.82055080892448706,0.94248490240663774,9,0,11,1,0,0,0,0.94325433382806934
common_five,0.69999999999999996,16.411872192180027,19.027561764836872,0.86253154213953653,0.49847957057818271,0.52389470066915012,0.025415130090967408,15,5,1.4041715766931639,0.98814178338111769,0.92716868474428249,0.99665781524121355,0,0,17,1,0,0,0,0.98366962775059319
dumate_original,0.69999999999999996,7.4764137387080822,8.5933316178786754,0.8700250462990613,0.35842126885237091,0.41778881912834964,0.059367550275978731,38,18,1.210266356056485,0.98076724524668779,0.86323337963041047,0.98841077861597082,10,0,13,1,0,0,0,0.95845592113630051
remove_optical_leaders,0.69999999999999996,2.8995892515094956,3.0475364255241244,0.95145351741310713,0.42177793097588179,0.45691302126687872,0.035135090290996929,35,30,0.81253204643305943,0.89350629870933129,0.82468635762220843,0.91864379321066902,10,6,4,1,0,0,0,0.91748387187246061
trae_original,0.69999999999999996,5.7651206058433235,6.5952446401719929,0.8741329428066491,0.38298281351803887,0.41300817174346627,0.030025358225427401,50,25,1.0918684941183594,0.94866185012470583,0.89016192568320707,0.96759080952844023,22,0,6,1,0,0,0,0.96609497743974848
union_34,0.69999999999999996,5.1554376778630377,5.3597431143899605,0.96188148719695188,0.37249713517747252,0.39879079738928846,0.026293662211815949,46,32,0.875561703314236,0.88683408344639536,0.8699254181489412,0.93533130222781979,29,0,4,1,0,0,0,0.96081261661078987
workbuddy_original,0.69999999999999996,5.6382025822907123,6.5872297678564582,0.85592924203180365,0.38346733767437891,0.41864834427969044,0.035181006605311538,53,26,1.1562421002494006,0.9835285732336313,0.89088421671984952,0.98464169183614703,27,0,6,1,0,0,0,0.9652300437757878
