candidate,scope,horizon,shrinkage,positions,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,worst_normalized_deficit,objective
5,union,10,10,4,MEASURED,2023-01-03,2025-12-31,727,1.452930712742627,0.45293071274262697,0.13296815930552452,0.17670378553085198,0.17670378553085198,0.90141533547153585,32,10.693504117108874,8.8209221720162532,17003.811709599915,21767.232910103416,0.10028337080599453,0,1.0180802888282552,-1.4378611888668626
5,chatgpt_5,10,10,4,MEASURED,2023-01-03,2025-12-31,727,1.9719292877009205,0.97192928770092046,0.25471309054986535,0.29816597259133437,0.29816597259133437,0.96099298715166492,58,19.381976212259836,17.191162806937719,41072.512819609568,63788.684772991299,0.17750385292944892,0,1.0263252261363476,-2.4905006293065615
5,joint_optical_leader_removal,10,10,4,MEASURED,2023-01-03,2025-12-31,727,0.91635693747960045,-0.083643062520399547,-0.0287677932731355,0.204891860156725,0.204891860156725,-0.19778461841093481,32,10.693504117108874,8.195947391730579,12830.938336885867,16984.291384679815,0.073176606172999079,0,0.80928392532188242,-1.3553517504833901
6,union,20,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,1.407612449471259,0.40761244947125896,0.12103428448696008,0.44964225286671555,0.44964225286671555,0.54735307620673479,113,37.761436413540714,46.630917765309391,90843.722893261103,156371.72259639576,0.27361366486765493,0,1.0497680157311184,-1.7097756390987049
6,chatgpt_5,20,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,2.9322720517313399,1.9322720517313399,0.43260540061547026,0.46474960934185205,0.46474960934185205,1.2875803372857548,98,32.748856358645931,49.269398476490792,127530.28389012207,224734.84191020325,0.31731224229742272,0,0.62956005670573001,-2.2441709001561239
6,joint_optical_leader_removal,20,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,1.185906991916662,0.18590699191666205,0.058633534935121912,0.4591750821766345,0.4591750821766345,0.36553193219799068,87,29.072964318389754,35.347041496916312,60832.879036991428,101102.02020946986,0.21711595671497638,0,0.55142672900492884,-1.3063528993181481
7,union,20,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,1.6635037424549466,0.66350374245494659,0.18538645438382351,0.33733517689439874,0.33733517689439874,0.80040364552488974,164,54.804208600182982,46.40760770700431,94279.744378021263,168608.62664301801,0.26351946529183501,0,0.88273692040259932,-1.4925997811642326
7,chatgpt_5,20,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,2.3295043704817635,1.3295043704817635,0.32656700021165408,0.45753416363671995,0.45753416363671995,1.0873996215820456,126,42.105672461116193,50.856492241799351,110058.98965788816,194049.0491108447,0.31354066491004534,0,0.85968209509123172,-2.4875949864677165
7,joint_optical_leader_removal,20,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,1.0200707782151988,0.020070778215198759,0.0066627693133700649,0.39891103906275827,0.39891103906275827,0.13518305452537357,125,41.771500457456547,37.149967155873128,52044.424614965341,87822.211219828518,0.2123153963512581,0,0.7020625895540612,-1.4371877998100069
8,union,20,1,2,MEASURED,2023-01-03,2025-12-31,727,1.937544815369163,0.93754481536916301,0.24735908644996529,0.28580454909411468,0.28580454909411468,0.97727530813655894,55,18.379460201280878,22.952569609065666,55499.340143925707,88416.318246877272,0.20169079167244014,0,0.73024137413297596,-1.2318478468440304
8,chatgpt_5,20,1,2,MEASURED,2023-01-03,2025-12-31,727,2.2750376317097101,1.2750376317097101,0.31612030870140262,0.30357664237069837,0.30357664237069837,1.0926050705783266,56,18.713632204940531,27.931155435055391,72065.497624988653,116451.08632487638,0.22033192725138975,0,0.88334102983307106,-2.3515744353378079
8,joint_optical_leader_removal,20,1,2,MEASURED,2023-01-03,2025-12-31,727,1.8332130092545469,0.83321300925454689,0.22449888042894561,0.27891333149419106,0.27891333149419106,1.0502867005585823,52,17.376944190301923,22.218285960895496,48505.187714211286,76390.59744366337,0.15488891585564127,0,0.11586443474911079,-0.71744836341371787
9,union,20,1,4,MEASURED,2023-01-03,2025-12-31,727,1.4924937311050308,0.49249373110503081,0.14318546453152026,0.25681621085650896,0.25681621085650896,0.69579014687619789,86,28.738792314730102,25.214227989323859,46963.840633731801,76108.751152870987,0.19655384670100892,0,0.9912146206127882,-1.4885574242750983
9,chatgpt_5,20,1,4,MEASURED,2023-01-03,2025-12-31,727,2.4513639760622574,1.4513639760622574,0.34936420295145232,0.29693249607799199,0.29693249607799199,1.2245374973373051,72,24.060384263494971,25.120944935721777,64963.733663552062,110155.65073708449,0.23036696005239032,0,0.80869302894385919,-2.2800640932560561
9,joint_optical_leader_removal,20,1,4,MEASURED,2023-01-03,2025-12-31,727,1.2003521135613193,0.20035211356131932,0.062925275441161554,0.37984385255233655,0.37984385255233655,0.42611549027746626,83,27.736276303751144,24.804202557238977,38095.652949917399,59564.71540825953,0.15928403003053948,0,0.53931966312974144,-1.23207403519546
10,union,20,10,2,MEASURED,2023-01-03,2025-12-31,727,2.1111902084222178,1.1111902084222178,0.28365394289152035,0.19629581901694881,0.19629581901694881,1.1582554015214912,39,13.032708142726442,16.13970935778725,46393.831938242576,68247.585113892914,0.15352797554398642,0,0.64441111834823972,-1.0788860435014198
10,chatgpt_5,20,10,2,MEASURED,2023-01-03,2025-12-31,727,2.4439386075772505,1.4439386075772505,0.34799695296774225,0.28932180929017648,0.28932180929017648,1.0923612652462205,42,14.035224153705398,21.070159121867693,53440.194324945129,84888.000857245512,0.21267997157942106,0,0.8117267021654363,-2.2692689828597818
10,joint_optical_leader_removal,20,10,2,MEASURED,2023-01-03,2025-12-31,727,1.7231495198108777,0.72314951981087772,0.19942340214290577,0.27891333149419106,0.27891333149419106,1.0356181697371853,17,5.68092406221409,7.4359749423331882,18696.113289879861,23637.82509800851,0.1024063282313606,0,0.17778087230486858,-0.77936480096947569
11,union,20,10,4,MEASURED,2023-01-03,2025-12-31,727,1.668251898800877,0.66825189880087699,0.18651603966484953,0.18978736610641911,0.18978736610641911,0.90978946851379305,62,20.718664226898447,16.140784787574926,36287.185480816202,53845.450233312928,0.16071840707229743,0,0.87988667562378309,-1.3109175895478629
11,chatgpt_5,20,10,4,MEASURED,2023-01-03,2025-12-31,727,2.2351413312437258,1.2351413312437258,0.3083620789007413,0.32600250914065476,0.32600250914065476,1.055943432524314,66,22.055352241537054,19.271154219661305,47471.647644897414,77880.265025249319,0.21757206809444962,0,0.90103316198797789,-2.3901966720532557
11,joint_optical_leader_removal,20,10,4,MEASURED,2023-01-03,2025-12-31,727,1.2393020057849251,0.23930200578492511,0.074328744510599343,0.3099331339881648,0.3099331339881648,0.51909627529420566,32,10.693504117108874,7.7483027937824254,15247.506385854585,19738.119677632305,0.099459226126986336,0,0.50738628228036653,-1.1322350628154538
