candidate,scope,leadership_window,exit_span,positions,pressure_guard,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
8,joint_optical_leader_removal,120,20,2,False,MEASURED,2023-01-03,2025-12-31,727,0.79155576413784312,-0.20844423586215688,-0.075141345851761687,0.70122325204746438,0.70122325204746438,0.081232452799099686,162,54.135864592863683,74.107869003903275,85377.525731865782,148101.7952483868,0.81105328692603851,1,0.95568955324938754,-1.9422776515146769
9,union,120,20,2,True,MEASURED,2023-01-03,2025-12-31,727,1.8921658633479628,0.89216586334796277,0.23751938843939646,0.69853816160968152,0.69853816160968152,0.66786816507162394,260,86.884720951509607,90.11918588244238,127039.37516768582,219924.29320510069,0.74434835608663741,122,1.178034361254737,-1.6988669782201029
9,chatgpt_5,120,20,2,True,MEASURED,2023-01-03,2025-12-31,727,8.4030545539850294,7.4030545539850294,1.0366716854738418,0.49120573668460088,0.49120573668460088,1.6282825891524113,168,56.140896614821592,54.651867107523209,166099.32359282897,301352.41839680268,0.65064185249415529,46,0.48516630204688949,-1.2579793658514551
9,joint_optical_leader_removal,120,20,2,True,MEASURED,2023-01-03,2025-12-31,727,0.64375401691169154,-0.35624598308830846,-0.13686333939765882,0.72299098501986636,0.72299098501986636,-0.096287641981205901,237,79.198764867337601,83.759353195760767,95250.464992983383,164408.03791846949,0.70735165421669965,184,1.1623731920107327,-2.2154128905542714
10,union,120,20,4,False,MEASURED,2023-01-03,2025-12-31,727,1.7293025959019424,0.72930259590194235,0.20085294222931727,0.65876948693228965,0.65876948693228965,0.61698559688353294,276,92.23147301006405,73.014700017723627,102280.49229246657,177239.40236228806,0.84025503609741947,7,1.0540360678052809,-1.7697379052564053
10,chatgpt_5,120,20,4,False,MEASURED,2023-01-03,2025-12-31,727,6.1630391307818702,5.1630391307818702,0.83623115887959609,0.53132451973747452,0.53132451973747452,1.4526608558696357,119,39.766468435498631,45.201154067163657,109548.74170470623,196682.05497535388,0.70556273281762771,0,0.60646591281978957,-1.5653448526434464
10,joint_optical_leader_removal,120,20,4,False,MEASURED,2023-01-03,2025-12-31,727,1.0183369847801746,0.018336984780174648,0.0060906757995518035,0.72527094889602584,0.72527094889602584,0.24864527260278302,243,81.203796889295518,68.063615232026976,74668.179677525986,126471.74988967922,0.83667985460482186,3,0.70376371519202929,-1.7625234506866037
11,union,120,20,4,True,MEASURED,2023-01-03,2025-12-31,727,2.1704660193526872,1.1704660193526872,0.29558701700472523,0.66697773455814247,0.66697773455814247,0.76379920956185732,410,137.01052150045746,84.115269515363309,117521.37069784258,203944.15076515425,0.78488615249947169,293,1.342857142857143,-1.6382284914761585
11,chatgpt_5,120,20,4,True,MEASURED,2023-01-03,2025-12-31,727,5.4843786652640372,4.4843786652640372,0.76602031532023052,0.51326825227012118,0.51326825227012118,1.4026190007705686,230,76.85956084172004,56.58901325340797,124142.59893852213,222183.381184378,0.64790240848447778,127,0.9327731092436975,-1.74265504970656
11,joint_optical_leader_removal,120,20,4,True,MEASURED,2023-01-03,2025-12-31,727,0.61364989764987854,-0.38635010235012146,-0.15056720540709134,0.73452183882394584,0.73452183882394584,-0.16520961528834677,395,131.99794144556267,82.774380327800984,87059.860277271917,146345.99885102807,0.76637789857860095,376,1.2102653175776132,-2.3775515096306621
12,union,120,60,2,False,MEASURED,2023-01-03,2025-12-31,727,1.4346359168922889,0.43463591689228886,0.12818075679103513,0.6874127074476859,0.6874127074476859,0.50086208413464151,149,49.791628545288198,69.830385340667547,99525.300030523969,171616.28081986241,0.83989643863878605,0,1.1433453166454162,-1.8931477346220067
12,chatgpt_5,120,60,2,False,MEASURED,2023-01-03,2025-12-31,727,11.416762881149072,10.416762881149072,1.2563229300001661,0.53627445359852066,0.53627445359852066,1.7392884253581304,94,31.41216834400732,45.993883774316338,202387.05180344888,368076.16278597544,0.73302763263468917,0,0.6214320958644044,-0.93583602057313953
12,joint_optical_leader_removal,120,60,2,False,MEASURED,2023-01-03,2025-12-31,727,0.59315936628584498,-0.40684063371415502,-0.1601528945443913,0.74953426723772498,0.74953426723772498,-0.12532986837804241,149,49.791628545288198,70.122894823633587,73014.424150389939,126247.25236398878,0.83801111932039307,0,1.2442267750954077,-2.2583596626582416
13,union,120,60,2,True,MEASURED,2023-01-03,2025-12-31,727,1.3853555563363553,0.38535555633635532,0.11507943627905792,0.6314138800291873,0.6314138800291873,0.47285506962328505,223,74.520356816102478,76.493546431376629,112953.34685116907,193693.26278387415,0.71809374173337281,133,1.065706160555,-1.9355603450995638
13,chatgpt_5,120,60,2,True,MEASURED,2023-01-03,2025-12-31,727,11.308303402472433,10.308303402472433,1.2491371404966412,0.49881541262868478,0.49881541262868478,1.8125787427660442,161,53.801692589204031,51.826193363329978,209210.86148851609,379447.0202728688,0.6524130059899701,52,0.5081742464530985,-0.96206622163419009
13,joint_optical_leader_removal,120,60,2,True,MEASURED,2023-01-03,2025-12-31,727,0.58370781533575056,-0.41629218466424944,-0.16464883138767994,0.75033086098784763,0.75033086098784763,-0.17758788870211845,215,71.846980786825256,76.24377912283822,80567.920081768476,138520.48655471523,0.7202383381722377,212,1.2602893424096264,-2.3191303797681266
14,union,120,60,4,False,MEASURED,2023-01-03,2025-12-31,727,1.5206918801104741,0.52069188011047407,0.15035817083987912,0.63650322298421336,0.63650322298421336,0.53377454071553654,240,80.201280878316567,65.414452190321313,86959.793156282118,154874.79283237614,0.86395846056615655,7,0.98461009991839576,-1.8575306109327605
14,chatgpt_5,120,60,4,False,MEASURED,2023-01-03,2025-12-31,727,6.450879033724596,5.450879033724596,0.86445527295535896,0.52749142462393195,0.52749142462393195,1.4648434646202522,107,35.756404391582798,44.239441073012657,139029.47588321922,249094.66760209203,0.72210723905589025,0,0.59487650481816989,-1.5088035186676594
