case_id,core_fraction,candidate_wealth,passive_wealth,wealth_ratio_to_passive,candidate_max_drawdown,passive_max_drawdown,drawdown_margin_to_passive,candidate_orders,passive_orders,candidate_turnover,passive_turnover,candidate_average_exposure,passive_average_exposure,candidate_blocked_attempts,passive_blocked_attempts,state_transitions,systemic_protection_signals,acute_damage_signals,funded_recovery_completions,minimum_exposure,final_exposure
remove_optical_leaders,0.80000000000000004,2.9711888605027741,3.0475364255241244,0.97494777605218619,0.44817707461425582,0.45691302126687872,0.0087359466526228946,107,30,2.6178013482381002,0.89350629870933129,0.91290749512444114,0.91864379321066902,5,6,151,13,0,13,0,0.97519706925569483
trae_original,0.80000000000000004,6.4525891905917776,6.5952446401719929,0.97836995329766951,0.40428622940886649,0.41300817174346627,0.0087219423345997749,83,25,2.6600915902791633,0.94866185012470583,0.94726810527024063,0.96759080952844023,1,0,135,8,0,8,0,0.98098510071531697
union_34,0.80000000000000004,5.1136526808035745,5.3597431143899605,0.95408540515203488,0.39328774500328501,0.39879079738928846,0.0055030523860034597,135,32,2.8638089628476386,0.88683408344639536,0.92069128108182496,0.93533130222781979,9,0,140,11,0,11,0,0.93468456953993739
workbuddy_original,0.80000000000000004,6.3814295152838847,6.5872297678564582,0.96875769332097506,0.4094346783893219,0.41864834427969044,0.0092136658903685387,102,26,3.2805594811150964,0.9835285732336313,0.95878467087001096,0.98464169183614703,5,0,134,10,0,10,0,0.98445623173390651
chatgpt_original,0.90000000000000002,5.6546412391596279,5.783832209789896,0.97766343041355952,0.37349853662082821,0.37608218466398968,0.0025836480431614683,57,22,1.5550630205153992,0.89516643046113842,0.93388597693591879,0.94248490240663774,10,0,140,12,0,12,0,0.98338198770357188
common_five,0.90000000000000002,18.81258963626065,19.027561764836872,0.98870206644271719,0.51258106133155934,0.52389470066915012,0.011313639337590775,30,5,2.328709760125744,0.98814178338111769,0.98258891703068896,0.99665781524121355,0,0,146,10,0,10,0,0.99399272420946394
dumate_original,0.90000000000000002,8.4361814498510572,8.5933316178786754,0.98171254467817082,0.41365895400409036,0.41778881912834964,0.0041298651242592799,53,18,2.1251377835884941,0.98076724524668779,0.97520409559123478,0.98841077861597082,0,0,136,9,0,9,0,0.99319900387372861
remove_optical_leaders,0.90000000000000002,3.0286250006058189,3.0475364255241244,0.99379452046580441,0.45681951222226103,0.45691302126687872,9.3509044617690051e-05,48,30,1.1975471144544365,0.89350629870933129,0.91815563334984429,0.91864379321066902,0,6,151,13,0,13,0,0.96814204491934985
trae_original,0.90000000000000002,6.5251796939649012,6.5952446401719929,0.989376444691631,0.41028258268871876,0.41300817174346627,0.0027255890547475126,57,25,1.5904159981773274,0.94866185012470583,0.96069348412352951,0.96759080952844023,4,0,134,8,0,8,0,0.98932056929409828
union_34,0.90000000000000002,5.2549709322908766,5.3597431143899605,0.98045201423594552,0.39801790611376631,0.39879079738928846,0.00077289127552215842,68,32,1.428161958291742,0.88683408344639536,0.92877841396295546,0.93533130222781979,4,0,140,11,0,11,0,0.95568709818462527
workbuddy_original,0.90000000000000002,6.4468598521842448,6.5872297678564582,0.97869059974844463,0.4139596784332219,0.41864834427969044,0.0046886658464685427,67,26,1.9855899953687446,0.9835285732336313,0.97076110719321673,0.98464169183614703,0,0,135,10,0,10,0,0.9895604787136687
