candidate,scope,leader_rule,market_span,minimum_breadth,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
3,chatgpt_5,responsive,20,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,8.9237341465756188,7.9237341465756188,1.0780025191843228,0.47064578842639104,0.47064578842639104,1.7002461911301996,72,24.060384263494971,34.356124408891837,109015.89566732878,196993.31121910387,0.59420527431384085,0,0.42300305751514422,-1.1182791717934433
3,joint_optical_leader_removal,responsive,20,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,2.0148632418689405,1.0148632418689405,0.26377672599077973,0.42447462448586626,0.42447462448586626,0.78367926976535773,72,24.060384263494971,31.441764524585711,69399.173112631703,125967.6712663334,0.54973475904207114,1,0.021383281794752622,-0.74025894873010611
4,union,responsive,40,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,7.4130390998563414,6.4130390998563414,0.95311764545517241,0.39547613154361672,0.39547613154361672,1.6353971643622442,87,29.072964318389754,35.470298764253869,127862.79410556177,231759.29671603843,0.59110936555580373,1,0.23309026034198754,0.0095714153501208349
4,chatgpt_5,responsive,40,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,9.331742512295337,8.331742512295337,1.1092807765381809,0.5342922009786284,0.5342922009786284,1.7257547721489912,76,25.397072278133578,36.111803300753479,120144.42957829559,215640.17928179749,0.60896303752942549,0,0.6154387318351513,-1.1239800806585285
4,joint_optical_leader_removal,responsive,40,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.4530350738003082,0.45303507380030816,0.13299535317134592,0.5883657209738371,0.5883657209738371,0.50909461168354919,90,30.075480329368713,41.569227881516142,68423.563655836129,120541.25592024931,0.60383156499553614,1,0.34828008166781049,-1.2021042631008894
5,union,responsive,40,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,7.4899830966849343,6.4899830966849343,0.95986886505870417,0.32271032263691857,0.32271032263691857,1.7086865689620343,66,22.055352241537054,27.536257960907587,107498.46282588747,197253.33229060541,0.50816898062719096,1,0.0062072626284837007,0.088507046767010975
5,chatgpt_5,responsive,40,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,9.0719016442435674,8.0719016442435674,1.0894691859593606,0.47064578842639104,0.47064578842639104,1.7117663533364265,72,24.060384263494971,34.368520068231248,109789.90997052348,198506.04023876681,0.59248286916986093,0,0.42300305751514422,-1.1018117518408201
5,joint_optical_leader_removal,responsive,40,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,1.7724529592728802,0.77245295927288016,0.21078410657570301,0.44923087915858251,0.44923087915858251,0.67355548377573649,72,24.060384263494971,32.93604440762217,66518.447655722077,120320.52749241547,0.54018486556669987,1,0.14957016497516745,-0.88701302291505824
6,union,persistent,10,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,2.4730432382001708,1.4730432382001708,0.3533403429288402,0.54407159616005718,0.54407159616005718,0.86177272287066831,94,31.41216834400732,42.149999530553238,113713.52617463515,208309.64946870334,0.62394437095300881,0,0.69640929664978724,-1.2043446088276035
6,chatgpt_5,persistent,10,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,4.8582695532764264,3.8582695532764264,0.69591051996610109,0.54124379866473049,0.54124379866473049,1.2630079943288046,86,28.738792314730102,41.477651921200575,119348.31574035948,213601.56205592974,0.61659002624795323,0,0.63645696891534076,-1.7886166653530327
6,joint_optical_leader_removal,persistent,10,0.40000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.7091216091662862,0.70912160916628619,0.19615155219285829,0.55840035852532099,0.55840035852532099,0.62218655258535627,91,30.409652333028365,42.20625029271195,73302.600894517949,132458.69167149017,0.60073346938695327,0,0.21738452786050999,-1.017973548767642
7,union,persistent,10,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,1.6717958695991939,0.67179586959919391,0.18735775509847574,0.48091637104600626,0.48091637104600626,0.61487172811359614,77,25.731244281793231,35.914577229826953,75610.16082858351,134712.44323261295,0.54665040360280137,1,0.87776456697502492,-1.5371673947135847
7,chatgpt_5,persistent,10,0.59999999999999998,MEASURED,2023-01-03,2025-12-31,727,4.7435286660237947,3.7435286660237947,0.6824191490095981,0.56923774106307867,0.56923774106307867,1.2502210985438524,82,27.402104300091491,39.112283600873873,113378.76715901095,204584.06553653552,0.58773011651669294,0,0.7210969818599855,-1.8308397585796592
