case_index,case,group,policy,window,universe_size,cost_multiplier,delay,average_exposure_full,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
164,common_exhaustive_3_8,common_five_exhaustive,control,recovery,3,1,1,0.4656456272580764,MEASURED,2026-09-01,2026-09-11,9,1,0,0,0,0.1913406205700818,0,0,0,0,0,0,0,0
164,common_exhaustive_3_8,common_five_exhaustive,treatment,bull,3,1,1,0.63712870918553755,MEASURED,2023-01-03,2026-06-30,843,10.301547847476623,9.3015478474766233,0.95161672303389755,0.39953056158341471,0.39953056158341471,1.59100399074112,68,19.495290423861853,39.970948223873961,124544.45458471162,222262.95769183105,0.6748207026377544,5
164,common_exhaustive_3_8,common_five_exhaustive,treatment,full,3,1,1,0.63712870918553755,MEASURED,2023-01-03,2026-09-11,896,8.5587333012570621,7.5587333012570621,0.78990678322288055,0.39953056158341471,0.39953056158341471,1.4321314938593066,70,18.98106904231626,40.968191515254283,137517.86642314747,239350.32379271611,0.63712870918553755,5
164,common_exhaustive_3_8,common_five_exhaustive,treatment,july_august,3,1,1,0.63712870918553755,MEASURED,2026-07-01,2026-08-31,44,0.83082012800178695,-0.16917987199821299,-0.67036620918777645,0.16917987199821299,0.16917987199821299,-3.630035712664843,2,11.975409836065577,0.99724329138032597,12973.411838435835,17087.36610088512,0.045306161513971502,0
164,common_exhaustive_3_8,common_five_exhaustive,treatment,late_june_august,3,1,1,0.63712870918553755,MEASURED,2026-06-22,2026-08-31,51,0.97288972118168837,-0.027110278818311601,-0.1336015868004973,0.16917987199821299,0.16917987199821299,-0.1034048936392308,2,10.435714285714289,0.99724329138032597,12973.411838435835,17087.36610088512,0.17591068632801771,0
164,common_exhaustive_3_8,common_five_exhaustive,treatment,recovery,3,1,1,0.63712870918553755,MEASURED,2026-09-01,2026-09-11,9,1,0,0,0,0.16917987199821299,0,0,0,0,0,0,0,0
165,common_exhaustive_3_9,common_five_exhaustive,buy_hold,bull,3,1,1,0.99737064077645177,MEASURED,2023-01-03,2026-06-30,843,17.39659171290344,16.39659171290344,1.2679602081185108,0.45246522848412962,0.45246522848412962,1.5948221692844922,4,1.1467817896389323,0.99529347778397315,517.88491174420005,1989.8751699997936,0.99722387090612841,0
165,common_exhaustive_3_9,common_five_exhaustive,buy_hold,full,3,1,1,0.99737064077645177,MEASURED,2023-01-03,2026-09-11,896,13.557745039869999,12.557745039869999,1.0276912833288123,0.51117624471413992,0.51117624471413992,1.4015494587841246,4,1.0846325167037862,0.99529347778397315,517.88491174420005,1989.8751699997936,0.99737064077645177,0
165,common_exhaustive_3_9,common_five_exhaustive,buy_hold,july_august,3,1,1,0.99737064077645177,MEASURED,2026-07-01,2026-08-31,44,0.79245222769187817,-0.20754777230812169,-0.75164055666222884,0.4718625927580149,0.51117624471413992,-0.93106953404993564,0,0,0,0,0,0.99970298926704437,0
165,common_exhaustive_3_9,common_five_exhaustive,buy_hold,late_june_august,3,1,1,0.99737064077645177,MEASURED,2026-06-22,2026-08-31,51,0.76427593607756006,-0.2357240639224398,-0.75406737391670553,0.51117624471413992,0.51117624471413992,-0.98693679777768795,0,0,0,0,0,0.99971408325788524,0
