date,symbol,actual_units,weight,price,stop,entry_close_anchor,stop_broken,price_exit,stale,mature,stop_only,risk_cap,reason,subsequent40_price_return,subsequent40_price_drawdown
2023-09-18,sh688361,5064.3678921858373,0.13753973231110825,74.739999999999995,71.223500000000001,83.670000000000002,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.031308286703970012,0.097413584723229252
2023-10-13,sh688205,18066.520829893787,0.22394600663173045,35.284999999999997,34.220999999999997,35.912999999999997,False,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.055942260512352293,0.11324142724745134
2023-11-16,sh688019,17200.067289423685,0.47559201463237188,77.700999999999993,77.049000000000007,78.885000000000005,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.19047927461139902,0.21100141399858596
2023-11-21,sh688012,13233.048010765933,0.52950591344267506,108.089,108.76000000000001,110.907,True,False,False,False,True,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.15535717596455123,0.20857916413119215
2023-11-24,sh688535,9086.1760470002773,0.23918924740412528,67.719999999999999,69.785449999999997,86.096000000000004,True,False,False,False,True,0.5,PORTFOLIO_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.27955316532586638,0.29921747777089258
2023-12-14,sh688300,15188.73987018267,0.23790906179944912,40.362000000000002,40.5,43.615000000000002,True,False,False,False,True,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.26054209404885786,0.4412450776292357
2023-12-25,sh688008,24217.972720894017,0.53921937338262393,55.633000000000003,55.633000000000003,57.732999999999997,True,True,False,False,False,0.5,PORTFOLIO_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10906538523837805,0.24646478701755004
2023-12-26,sh688041,2507.5759623819044,0.070962922590690758,70.480999999999995,71.055499999999995,70.081000000000003,True,False,False,True,True,0.5,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.19609506439891988,0.12839300358962635
2024-03-21,sh688041,12404.401881132335,0.38983266430039748,78.700999999999993,79.180999999999997,82.311000000000007,True,False,False,False,True,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.096707110141488362,0.1165276753228891
2024-03-25,sh688012,6199.8406132594591,0.25359643218145383,104.545,94.395599999999988,104.545,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.18105569117661036,0.15581854043392496
2024-03-25,sz002371,5456.5128615604863,0.49645047904711515,232.542,208.58159999999998,192.727,False,False,False,True,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.04290740581824426,0.112451187935935
2024-05-10,sz002371,3542.446982055465,0.30863312480328342,218.57900000000001,217.80259999999998,237.13399999999999,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.080304934315775789,0.057894865665309547
2024-05-24,sz002409,7494.1884107082342,0.16908414368994851,54.920000000000002,56.130000000000003,62.68,True,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.16293756766510281,0.060495626822157367
2024-05-29,sz300054,37221.428571428572,0.33481927153552754,21.68,21.870000000000001,22.620000000000001,True,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.058525345622119751,0.13468869123252858
2024-06-24,sh688008,20935.82456614482,0.46155487875879297,56.158999999999999,50.335999999999999,51.732999999999997,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.024942130668054396,0.18998111116314642
2024-06-24,sh688300,35851.342273249458,0.53513789926152588,38.023000000000003,35.59825,37.268999999999998,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.16581146847228101,0.21933168316831675
2024-07-18,sz002281,12487.991266375546,0.17439860693072221,34.420000000000002,33.829999999999998,36.399999999999999,False,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.22414806110458285,0.2540725921691912
2024-07-23,sh688008,21725.824620177758,0.54651508089962153,57.829000000000001,57.382499999999993,62.689,False,True,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.18217761038872515,0.18148015487216229
2024-07-23,sz002371,4073.7678179928544,0.43773761124733146,247.023,236.11940000000001,260.238,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.12763127481234871,0.1536397578084735
2024-10-10,sh688019,10152.463862161872,0.2922611192001634,82.149000000000001,86.568600000000004,70.346999999999994,True,False,False,True,True,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.078263434055468872,0.11996779388083734
2024-11-15,sh688041,12866.343285505005,0.53991005973241213,121.491,121.59099999999999,85.680999999999997,True,False,False,True,True,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.16735923455600821,0.15500311769781627
2024-11-27,sh600206,73934.544703696054,0.48956130088719818,20.591999999999999,20.799500000000002,19.372,True,False,False,True,True,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.29208659947741689,0.35190351903519046
2024-12-09,sh688120,1269.6758388756971,0.035236483745536881,87.822999999999993,86.623000000000005,94.007000000000005,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13685106197296804,0.19482265927046571
2024-12-19,sh688249,22662.416830836712,0.16408833165476325,24.332999999999998,24.343,26.562999999999999,True,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.010676302714244468,0.13695918932826667
2024-12-31,sh688205,5650.5825842218792,0.11522193501034307,69.668999999999997,57.319399999999995,66.977000000000004,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.16338375217087975,0.38211448693800676
2024-12-31,sh688256,3846.5472378245686,0.49604590258947268,440.60399999999998,379.53470000000004,250.06700000000001,False,False,False,True,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.18724314187373503,0.22784747988365861
2025-01-16,sh688256,1000.4818356636526,0.12022385313584613,397.65100000000001,413.45600000000002,397.65100000000001,True,True,False,True,False,0.5,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.18774757794336172,0.13964915176043002
2025-02-24,sh688205,15956.558156702964,0.3396234722174013,72.591999999999999,68.131,71.531000000000006,False,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.4512713666128072,0.5060066724895832
2025-03-11,sh603986,7057.6584816012037,0.27273863644350865,127.09,122.38,127.11,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.030475448168355457,0.211535499768982
2025-03-21,sh688256,1583.7139625735463,0.23616482076405759,458.75799999999998,459.101,532.54999999999995,True,True,False,False,False,0.5,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.025595010314538369,0.1743438642440116
2025-04-03,sh688409,11537.270937251948,0.21117471731309898,55.250999999999998,54.491,59.731000000000002,False,True,False,False,False,0.5,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.032841045407169922,0.1230659052788301
2025-04-07,sh688037,4264.0453546492408,0.128038210431726,88.114000000000004,88.334000000000003,100.354,True,True,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.089147199676237188,0.087740360565860209
2025-05-09,sz002371,2712.6028918338284,0.30377972070890608,325.00900000000001,317.72000000000003,345.11200000000002,False,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.016463425838024071,0.075244014504271872
2025-05-15,sh688268,8703.1446009389674,0.14977684703900729,48.43,49.979999999999997,53.759999999999998,True,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.025683172385453146,0.077480378345743506
2025-05-23,sh600206,83662.379421221864,0.53722033288382176,17.391999999999999,17.492000000000001,18.512,True,False,False,False,True,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.16919777417111059,0.054030433888546225
2025-05-28,sz300604,28732.468735525708,0.43436082365876449,40.909999999999997,41.340000000000003,42.829999999999998,True,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.10097799511002448,0.038115530303030276
2025-06-20,sh688205,22877.634095711161,0.51440192613983682,65.719999999999999,60.014649999999996,52.914999999999999,False,True,False,True,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.049908703590992198,0.15170611743006457
2025-06-23,sh688008,17305.703117169491,0.4687309730929628,77.426000000000002,77.31604999999999,79.715999999999994,False,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.16456698949735515,0.057950268972364105
2025-07-02,sh603986,12307.33715392687,0.51957427015161362,119.89,114.48999999999999,124.41,False,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.3175331719936576,0.061755952380952328
2025-09-04,sh601869,31802.365111534207,0.53799140967656955,85.704999999999998,75.560299999999998,37.966999999999999,False,False,False,True,False,0,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.027119049041275822,0.3313525867442344
2025-09-04,sh688498,5067.6511120617797,0.250008038935703,249.941,208.68940000000001,130.06,False,False,False,True,False,0,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.66251138921915942,0.19261937456454237
2025-10-14,sh603986,6022.3593760551012,0.24668852916682218,195.25,184.393,188.41,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.079055441478439237,0.27526401299756287
2025-10-14,sh688041,6990.7321246745523,0.33344788462192826,227.36000000000001,213.7415,245.75999999999999,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.03895762042642803,0.17835639379560586
2025-11-14,sh688347,3376,0.08032814254746104,111.73,113.8925,140,True,False,False,False,True,0.5,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,,
2025-11-19,sz300223,17428.07357212004,0.32753264235720886,87.109999999999999,83.219999999999999,90.319999999999993,False,True,False,False,False,0.5,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,,
2025-11-21,sh688498,1515.7793809532914,0.12171895533190688,371.505,343.98899999999998,350.71300000000002,False,True,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,,
