date,bj920045,sh600206,sh601869,sh603986,sh688008,sh688012,sh688019,sh688037,sh688041,sh688072,sh688082,sh688120,sh688205,sh688249,sh688256,sh688268,sh688300,sh688347,sh688361,sh688409,sh688498,sh688535,sh688825,sz002281,sz002371,sz002409,sz300054,sz300223,sz300604,sz300666,sz300776
2024-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0.0048855028992283341,0,-9.2969372207211704e-05,0,0.004538539001165365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-30,0,0,0,0,0,0,0,0,0,0,0,0,-0.010667375983890847,0,-0.0032897688610396721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0.015234132267681067,0,0.0027110357881804277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0.010996775047420873,0,0.00074312914074095224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-16,0,0,0,0.0026952160981021682,0,0,0,0,0,0,0,0,0,0,0.01983693243016256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-17,0,0,0,-0.0045733764950666011,0,0,0,0,0,0,0,0,0,0,0.0038864512049680668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20,0,0,0,-0.00082443682632065297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-21,0,0,0,0.0030281306089320792,0,0,0,0,0,0,0,0,-0.0031395009218527356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-22,0,0,0,-0.0046918802799208077,0,0,0,0,0,0,0,0,-0.032799139451432806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-23,0,0,0,0.0062422475447168058,0,0,0,0,0,0,0,0,0.0081881961799966114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-24,0,0,0,-3.2816812544587392e-05,0,0,0,0,0,0,0,0,-0.012243997901981128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,0,0,0,0.0034772326346518487,0,0,0,0,0,0,0,0,0.020253009968168149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-05,0,0,0,-0.009742203498154637,0,0,0,0,0,0,0,0,0.028027158070310518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-06,0,0,0,-0.0052416788341376249,0,0,0,0,0,0,0,0,-0.02310894055611061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-07,0,0,0,0.001845529334151756,0,0,0,0,0,0,0,0,-0.0044598131455919066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-10,0,0,0,0.0028535291145709903,0,0,0,0,0,0,0,0,0.0026361497842188253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,0,0,0,0.0004563531531559938,0,0,0,0,0,0,0,0,-0.0066334072221833906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,0,0,0,-0.00068651375432542691,0,0,0,0,0,0,0,0,-0.0031508186867234365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-13,0,0,0,0.0052401187205282224,0,0,0,0,0,0,0,0,0.0059838652228084641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-14,0,0,0,0.00027321971081695185,0,0,0,0,0,0,0,0,0.0053798683579182344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-17,0,0,0,-0.0001306778377152934,0,0,0,0,0,0,0,0,-0.0016018302585482534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-18,0,0,0,0.0031357863358625771,0,0,0,0,0,0,0,0,0.0032032031888940358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-19,0,0,0,-0.0031471724047580953,0,0,0,0,0,0,0,0,-0.0036051543199660616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-20,0,0,0,-0.00065811656599536325,0,0,0,0,0,0,0,0,-0.0052194832376228299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-21,0,0,0,-0.00694322267196101,0,0,0,0,0,0,0,0,0.00076113256432608183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,0,0,0,-0.0036110465874279706,0,0,0,0,0,0,0,0,0.014258246373436007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-25,0,0,0,0.0046535405126072408,0,0,0,0,0,0,0,0,0.0034429540900866445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-26,0,0,0,0.00018432091655395477,0,0,0,0,0,0,0,0,0,0,0.0047025780271063352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-27,0,0,0,0.0024678399884280697,0,0,0,0,0,0,0,0,0,0,0.00139950782150175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-28,0,0,0,0.0015132551910189869,0,0,0,0,0,0,0,0,0,0,-0.031772907656528848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03,0,0,0,0.0016662562109015138,0,0,0,0,0,0,0,0,0,0,-0.022950368402036767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-04,0,-0.019650939159958962,0,-0.0033288975986083789,0,0,0,0,0,0,0,0,0,0,-0.0041108079694674093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-05,0,0.019031846022387305,0,-0.00093271841830677021,0,0,0,0,0,0,0,0,0,0,0.01397603258047867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06,0,-0.019487623071583336,0,-0.0013347551910892945,0,0,0,0,0,0,0,0,0,0,0.03347367403323618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07,0,0.021189042922353466,0,0.0022816552634139023,0,0,0,0,0,0,0,0,0,0,-0.013041453683489785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-10,0,-0.0080940530230599605,0,0.0016838620309355748,0,0,0,0,0,0,0,0,0,0,0.015196140626836311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-11,0,0.0081721709714449881,0,0.0035434512142411782,0,0,0,0,0,0,0,0,0,0,0.0067849242195611083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-12,0,-0.0019885586206161428,0,-0.00081681753941622833,0,0,0,0,0,0,0,0,0,0,-0.0094409755874233121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-13,0,0.035477892884775868,0,0,0,0,0,0,0,0,0,0,0,0,-0.016993576573204269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-14,0,-0.001849394531118645,0,0,0,0,0,0,0,0,0,0,0,0,0.0085356540726995462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-17,0,-0.0052365897158226137,0,0,0,0,0,0,0,0,0,0,0,0,-0.0033516888649930462,0,0,0,0,-0.0010271560289304941,0,0,0,0,0,0,0,0,0,0,0
2025-03-18,0,-0.00022273232137815397,0.0037440733952519923,0,0,0,0,0,0,0,0,0,0,0,-0.00090927949137317254,0,0,0,0,-0.0052271731929823774,0,0,0,0,0,0,0,0,0,0,0
2025-03-19,0,0.0080541521020854965,0.0099132187675956603,0,0,0,0,0,0,0,0,0,0,0,-0.025098925236398402,0,0,0,0,-0.0044000242095913415,0,0,0,0,0,0,0,0,0,0,0
2025-03-20,0,0.0027596699436464173,0.00070407636955836588,0,0,0,0,0,0,0,0,0,0,0,-0.000884864711570557,0,0,0,0,-0.0023072544783816168,0,0,0,0,0,0,0,0,0,0,0
2025-03-21,0,0.00098017787164512613,0,0,0,0,0,0,0,0,0,0,0,0,-0.0060631539185463197,0,0,0,0,-0.0012910798567109057,0,0,0,0,0,0,0,0,0,0,0
2025-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024959439154628831,0,0,0,0,0.0037327559489674935,0,0,0,0,0,0,0,0,0,0,0
2025-03-25,0,0,0,0,0,0,-0.0036170263368386895,0,0,0,0,0,0,0,0,0,0,0,0,-0.010465307081104004,0,0,0,0,0,0,0,0,0,0,0
2025-03-26,0,0,0,0,0,0,0.0060344394494735833,0,0,0,0,0,0,0,0,0,0,0,0,0.0014999554639869674,0,0,0,0,0,0,0,0,0,0,0
2025-03-27,0,0,0,0,0,0,0.0076737541196613837,0,0,0,0,0,0,0,0,0,0,0,0,0.020401483467961251,0,0,0,0,0,0,0,0,0,0,0
2025-03-28,0,0,0,0,0,0,-0.0090296039590555197,0,0,0,0,0,0,0,0,0,0,0,0,-0.0042753983301918501,0,0,0,0,0,0,0,0,0,0,0
2025-03-31,0,0,0,0,0,0,0.0056176466489621761,0,0,0,0,0,0,0,0,0,0,0,0,0.0014672000179273873,0,0,0,0,0,0,0,0,0,0,0
2025-04-01,0,0,0,0,0,0,0.0010995621296541937,0,0,0,0,0,0,0,0,0,0,0,0,-0.0091533963802119551,0,0,0,0,0,0,0,0,0,0,-0.0040485873176570111
2025-04-02,0,0,0,0,0,0,-0.00039708449826690063,0,0,0,0,0,0,0,0,0,0,0,0,-0.0037247188088248419,0,0,0,0,0,0,0,0,0,0,-0.00017976065176027997
2025-04-03,0,0,0,0,0,0,-0.00053474036968206504,0,0,0,0,0,0,0,0,0,0,0,0,-0.0059127660323005241,0,0,0,0,0,0,0,0,0,0,0.008452447929388986
2025-04-07,0,0,0,0,0,0,-0.0013819409762888153,0,0,0,0,0,0,0,0,0,0,0,0,-0.017640630092642592,0,0,0,0,0,0,0,0,0,0,0.028981650463535489
