symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sh688012,2023-10-17,2023-10-16,37140.535203464562,1929387.0796199997,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-11-22,2023-11-21,37140.535203464562,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.019249913921253962
sz300308,2023-11-21,2023-11-20,-91939.447710412787,1351790.4399999999,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-11-24,2023-11-23,-91939.447710412787,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.06801309211094346
sh688535,2023-11-23,2023-11-22,-153396.04548952449,926251.26594000007,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-12-15,2023-12-14,-153396.04548952449,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.16560953936602885
sh688041,2023-11-28,2023-11-27,126081.59651610442,2318112.3965999996,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2023-12-27,2023-12-26,126081.59651610442,PORTFOLIO_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.054389768460334213
sz300394,2023-12-18,2023-12-15,-195347.50420823274,1425854.4299999999,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-01-08,2024-01-05,-195347.50420823274,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.1370038203747298
sz300308,2024-01-26,2024-01-25,-48737.00728918938,366134.76899999997,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-01-30,2024-01-29,-48737.00728918938,BROAD_TREND_BREAKDOWN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13311220735004653
sz300502,2024-01-25,2024-01-24,-49145.471262315084,303062.75999999995,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-01-30,2024-01-29,-49145.471262315084,BROAD_TREND_BREAKDOWN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.1621626862446415
sz300308,2024-02-22,2024-02-21,46979.519076159457,1044173.1299999999,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-03-26,2024-03-25,46979.519076159457,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.044992078158685681
sz300394,2024-02-19,2024-02-08,247164.73579878453,847106.25999999978,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-03-26,2024-03-25,247164.73579878453,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.29177536215915179
sz300308,2024-04-29,2024-04-26,-60426.652467742213,677332.65599999996,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-05-16,2024-05-15,-60426.652467742213,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.089212666674884519
sh688256,2024-05-17,2024-05-16,295274.70590722607,2332740.1096999999,3,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-06-25,2024-06-24,295274.70590722607,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.12657848368080729
sz300502,2024-04-29,2024-04-26,247014.90349694784,1285784.4999999998,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-06-25,2024-06-24,247014.90349694784,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.19211221125853351
sz300308,2024-07-12,2024-07-11,-79463.334130955278,800593.79400000011,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-07-22,2024-07-19,-79463.334130955278,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.099255496016192282
sz002371,2024-07-23,2024-07-22,-118196.9238605164,2357472.1169999996,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-07-24,2024-07-23,-118196.9238605164,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.0501371460591983
sz300502,2024-07-12,2024-07-11,-65021.8816075715,691991.30000000005,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-07-24,2024-07-23,-65021.8816075715,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.093963437990580947
sz300502,2024-09-27,2024-09-26,74884.82987219817,1880586.7079999999,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-10-17,2024-10-16,74884.82987219817,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.039819929362277601
sh688041,2024-09-27,2024-09-26,710187.39093697583,2153465.5742600001,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-11-18,2024-11-15,710187.39093697583,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.32978813287090464
sh600206,2024-11-19,2024-11-18,194252.07016275218,1885403.5199999996,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-11-28,2024-11-27,194252.07016275218,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.10302944070177202
sh688120,2024-12-02,2024-11-29,-3933.0348645636695,218032.81499999997,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-12-10,2024-12-09,-3933.0348645636695,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.018038729007666437
sh688249,2024-12-11,2024-12-10,-112550.70859225024,1153890.7379999999,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2024-12-20,2024-12-19,-112550.70859225024,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.097540178533134445
sh688205,2024-12-23,2024-12-20,-26378.92941519781,744644.60069999995,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-01-02,2024-12-31,-26378.92941519781,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.035424858234922287
sh688256,2024-10-18,2024-10-17,1084828.8479770611,2093447.3559999997,2,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-01-02,2024-12-31,1084828.8479770611,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.51820211521815851
sh688256,2025-01-16,2025-01-15,-143553.53031461802,873945.07199999993,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-01-17,2025-01-16,-143553.53031461802,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.16425921366671203
sh603986,2025-01-16,2025-01-15,2076.0242200274952,1776323.5490000001,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-02-05,2025-01-27,2076.0242200274952,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.001168719640741246
sh688205,2025-01-21,2025-01-20,-13975.624101012421,2189254.7076399997,2,2,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-02-06,2025-02-05,-13975.624101012421,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.0063837360048790487
sh688205,2025-02-11,2025-02-10,-65943.867374287103,640799.5994399999,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-02-25,2025-02-24,-65943.867374287103,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10290872127872114
sh601869,2025-02-11,2025-02-10,-188024.60456371517,1731820.0899999999,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-03-03,2025-02-28,-188024.60456371517,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.1085705181787764
sh600206,2025-03-04,2025-03-03,-145597.72826289712,1598647.0499999998,1,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-03-21,2025-03-20,-145597.72826289712,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.091075593116627676
sh688256,2025-02-26,2025-02-25,-307649.74471110106,2306675.4610899999,2,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-03-24,2025-03-21,-307649.74471110106,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.13337365828035636
sh688019,2025-03-25,2025-03-24,-275660.80490183388,3041729.2905999999,2,2,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-04-08,2025-04-07,-275660.80490183388,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.090626343953001176
sz300776,2025-03-27,2025-03-26,-262195.0433774367,2482881.4010000001,2,2,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-04-08,2025-04-07,-262195.0433774367,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.10560111460492458
sz002371,2025-04-16,2025-04-15,-27051.246063309023,1529828.2999999998,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-05-12,2025-05-09,-27051.246063309023,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.017682537356191557
sh688268,2025-04-16,2025-04-15,-70254.73952763225,791256.86639999994,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-05-16,2025-05-15,-70254.73952763225,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.088788789722952927
sh688019,2025-05-13,2025-05-12,-137679.153905774,2054430.3779999998,1,1,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-05-28,2025-05-27,-137679.153905774,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.06701573116330449
sh688205,2025-05-29,2025-05-28,233146.11716420762,1982422.9525099997,2,1,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-06-23,2025-06-20,233146.11716420762,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.11760664739530732
sh601869,2025-06-24,2025-06-23,2380103.8963636565,2066110.0460000001,2,2,TREND_OPEN|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-09-05,2025-09-04,2380103.8963636565,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,1.1519734396391665
sh688498,2025-05-19,2025-05-16,2468352.3420124268,1599969.5711999999,1,3,MARKET_WEAK_WARNING|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-09-05,2025-09-04,2468352.3420124268,ACCUMULATED_MARKET_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,1.5427495537687805
sh688041,2025-09-16,2025-09-15,-323391.27886266634,3575985.7533399994,2,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-10-15,2025-10-14,-323391.27886266634,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.090434163100514678
sz300308,2025-09-16,2025-09-15,-138548.39051920769,861924.06299999985,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-10-15,2025-10-14,-138548.39051920769,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.16074315182358206
sz300502,2025-10-29,2025-10-28,-263888.50360067491,1199598.3999999999,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-11-05,2025-11-04,-263888.50360067491,RECOVERY_WAIT|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.21998070654368573
sh688498,2025-11-06,2025-11-05,-26418.904729365138,1000554.5549999999,1,1,RECOVERY_WAIT|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-11-24,2025-11-21,-26418.904729365138,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.026404262113788629
sz300308,2025-10-29,2025-10-28,-167139.11560498271,1292515.2239999997,1,1,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,2025-11-24,2025-11-21,-167139.11560498271,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.12931307306983236
sh688205,2025-12-03,2025-12-02,-1872164.4442300799,1871677.8079999997,2,0,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,OPEN,,-57428.444230080117,,-0.030682868592349161
sz300308,2025-12-03,2025-12-02,-4571137.57083984,4569949.3839999996,3,0,CONFIRMED_RECOVERY|CASH_FUNDED_SUPPORT_RISK|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,OPEN,,309436.82764836028,,0.067711215518434356
