date,symbol,actual_units,weight,economic_target,declared_units,stop,close,stop_broken,price_exit,ready,entry,score,cap,cash_fraction,reason
2025-09-24,sh603986,4317.1314741035858,0.13593049046942876,,4317.1314741035858,161.85900000000001,199.05000000000001,False,False,True,True,1.927149199842906,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688008,0,0,,0,0,135.27600000000001,False,False,True,True,3.2260929357685608,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688012,0,0,,0,0,194.732,False,False,True,True,2.0839506171726625,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688019,0,0,,0,0,167.69200000000001,False,False,True,True,2.5695787125414178,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688037,0,0,,0,0,145.42400000000001,False,False,True,True,2.2311626933800723,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688041,8668.3491669054201,0.35602799681910702,,8668.3491669054201,206.30100000000002,259.64999999999998,False,False,True,True,2.1703490088263702,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688072,0,0,,0,0,251.86099999999999,False,False,True,True,2.4759067319227626,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688082,0,0,,0,0,188.58000000000001,False,False,True,True,2.4163241782329155,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688120,0,0,,0,0,110.515,False,False,True,True,1.8789658920184411,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688205,0,0,,0,0,129.30000000000001,False,False,True,True,1.9664242443627546,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688249,0,0,,0,0,25.66,False,False,True,True,0.71599797346172256,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688256,0,0,,0,0,921.14099999999996,False,False,True,False,3.1529619184227258,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688268,0,0,,0,0,64.280000000000001,False,False,True,True,2.0094552156073475,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688300,0,0,,0,0,60.549999999999997,False,False,True,True,1.1730140532967934,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688347,0,0,,0,0,85.379999999999995,False,False,False,True,2.7603811142711456,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688361,0,0,,0,0,114.25,False,False,True,True,1.1045425617983988,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688409,0,0,,0,0,72.359999999999999,False,False,True,True,1.6780961279016535,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688498,0,0,,0,0,263.49099999999999,False,False,True,True,3.2287006087888335,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688535,0,0,,0,0,80.292000000000002,False,False,True,True,1.7162250943044006,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sh688825,0,0,,0,0,0,False,False,False,False,,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sz002281,0,0,,0,0,68.799999999999997,False,False,True,True,1.548717269192343,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sz002371,0,0,,0,0,459.91800000000001,False,False,True,True,2.1489367580684204,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sz002409,0,0,,0,0,70.549999999999997,False,False,True,True,1.3855168508534008,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sz300054,0,0,,0,0,36.899999999999999,False,False,True,True,1.7677841560323329,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sz300223,0,0,,0,0,86.739999999999995,False,False,True,True,0.93823630882519249,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sz300604,0,0,,0,0,96.219999999999999,False,False,True,True,2.6229317926096822,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sz300666,0,0,,0,0,98.436000000000007,False,False,True,True,1.3670229917862382,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-24,sz300776,0,0,,0,0,73.191999999999993,False,False,True,False,0.89304125536986056,1,0.50804151271146425,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,bj920045,0,0,,0,0,0,False,False,False,False,,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh600206,0,0,,0,0,21.210999999999999,False,False,True,False,1.0739548064346645,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-25,sh601869,0,0,,0,0,107.785,False,False,True,True,3.09783054443474,1,0.50332112172087506,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
