symbol,entry,entry_signal,net_cash,buy_notional,buys,sells,entry_reason,exit,exit_signal,pnl,exit_reason,return_on_buys
sz002281,2023-12-13,2023-12-12,-50095.324370386603,571687.11599999992,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2023-12-20,2023-12-19,-50095.324370386603,RECOVERY_WAIT|TREND_EXIT_OR_STALE,-0.087627170472014987
sh688535,2024-03-05,2024-03-04,92134.097805007594,1057807.0502999998,1,1,TREND_OPEN|SCHEDULED_SELECTION,2024-03-19,2024-03-18,92134.097805007594,TREND_OPEN|SCHEDULED_SELECTION,0.087099152703584148
sh688041,2024-02-21,2024-02-20,-1337.856899764156,1339715.9775999999,2,3,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-03-26,2024-03-25,-1337.856899764156,CROSS_SECTION_SHOCK|RISK_REDUCTION,-0.00099861233435524581
sz002281,2024-03-19,2024-03-18,-93255.56394635886,1286660.3749999998,1,1,TREND_OPEN|SCHEDULED_SELECTION,2024-03-26,2024-03-25,-93255.56394635886,CROSS_SECTION_SHOCK|RISK_REDUCTION,-0.072478771988574595
sz002409,2024-04-29,2024-04-26,20765.705605635652,545855.30999999994,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-05-07,2024-05-06,20765.705605635652,CONFIRMED_RECOVERY|RISK_RESTORATION,0.038042509114064781
sz002371,2024-04-29,2024-04-26,-87670.312882520258,1231169.9399999999,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-05-13,2024-05-10,-87670.312882520258,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.071208945275678406
sz300054,2024-05-07,2024-05-06,-73244.325059514027,1077990.9139999999,2,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-05-30,2024-05-29,-73244.325059514027,RECOVERY_WAIT|TREND_EXIT_OR_STALE,-0.06794521559345354
sh688008,2024-06-04,2024-06-03,-15953.900437416101,507134.62799999997,1,1,RECOVERY_WAIT|SCHEDULED_SELECTION,2024-06-06,2024-06-05,-15953.900437416101,CONFIRMED_RECOVERY|RISK_RESTORATION,-0.031458905695976459
sh688256,2024-05-21,2024-05-20,-40317.279168100096,2346801.0165599999,3,3,TREND_OPEN|SCHEDULED_SELECTION,2024-06-25,2024-06-24,-40317.279168100096,CROSS_SECTION_SHOCK|RISK_REDUCTION,-0.017179675176380391
sh688300,2024-06-06,2024-06-05,-48939.088681337744,1233854.65203,2,3,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-06-26,2024-06-25,-48939.088681337744,ACCUMULATED_MARKET_SHOCK|TREND_EXIT_OR_STALE|RISK_REDUCTION,-0.039663576743679395
sz002281,2024-07-12,2024-07-11,-15141.550777260796,550359.80999999994,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-07-17,2024-07-16,-15141.550777260796,CONFIRMED_RECOVERY|RISK_RESTORATION,-0.027512093910456139
sh688008,2024-07-12,2024-07-11,-63339.288647523033,1045424.57019,2,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-07-24,2024-07-23,-63339.288647523033,CROSS_SECTION_SHOCK|TREND_EXIT_OR_STALE|RISK_REDUCTION,-0.06058714368652296
sz002371,2024-07-17,2024-07-16,-43014.222072990611,1112599.4879999999,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-07-24,2024-07-23,-43014.222072990611,CROSS_SECTION_SHOCK|TREND_EXIT_OR_STALE|RISK_REDUCTION,-0.038661011924706744
sh688019,2024-09-27,2024-09-26,57317.566433661035,464991.02649999998,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-10-18,2024-10-17,57317.566433661035,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,0.12326596249629139
sh688041,2024-09-27,2024-09-26,270517.16556326009,568335.76799999992,1,2,CONFIRMED_RECOVERY|RISK_RESTORATION,2024-11-26,2024-11-25,270517.16556326009,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,0.47598124347377013
sh688300,2024-11-29,2024-11-28,176361.64592404757,955535.6911099999,1,1,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,2024-12-27,2024-12-26,176361.64592404757,TREND_OPEN|SCHEDULED_SELECTION,0.18456835005208097
sh688205,2024-12-27,2024-12-26,-89574.955192805734,1368437.9708999998,1,1,TREND_OPEN|SCHEDULED_SELECTION,2025-01-02,2024-12-31,-89574.955192805734,CROSS_SECTION_SHOCK|RISK_REDUCTION,-0.065457811824597145
sh688256,2024-10-18,2024-10-17,554194.47973492206,1346653.3079999997,2,2,MARKET_WEAK_WARNING|SCHEDULED_SELECTION,2025-01-02,2024-12-31,554194.47973492206,CROSS_SECTION_SHOCK|RISK_REDUCTION,0.41153463660070866
sh688256,2025-01-16,2025-01-15,-137105.49940214108,834689.85599999991,1,1,CONFIRMED_RECOVERY|RISK_RESTORATION,2025-01-17,2025-01-16,-137105.49940214108,RECOVERY_WAIT|TREND_EXIT_OR_STALE,-0.16425921366671203
sh688205,2025-01-21,2025-01-20,11772.949508382939,1547606.0599999998,1,3,CONFIRMED_RECOVERY|RISK_RESTORATION,2025-02-25,2025-02-24,11772.949508382939,TREND_OPEN|TREND_EXIT_OR_STALE,0.0076072004450428036
sh603986,2025-01-16,2025-01-15,-29503.111798329512,1291385.0949999997,2,3,CONFIRMED_RECOVERY|RISK_RESTORATION,2025-03-12,2025-03-11,-29503.111798329512,MARKET_WEAK_WARNING|TREND_EXIT_OR_STALE,-0.022846099054852045
