scope,date,symbol,cash_fraction,cap,healthy_closes,entry_closes,actionable,higher_than_new_request,actual_new_requests,matured_forward20_return
union,2024-06-17,sz300308,0.12079710046386451,1,4,1,False,False,,0.050280918853566448
union,2024-06-18,sz300308,0.11970842072604901,1,5,2,False,False,,0.0083442521205434605
union,2024-07-05,sz300502,1,0,5,1,False,False,,-0.18510026631862997
union,2024-07-08,sz300502,1,0,6,2,False,False,,-0.25044345703296511
union,2024-09-24,sz300502,1,0,7,1,False,False,,0.24359144389079423
union,2024-09-25,sz300502,1,0,8,2,False,False,,0.24660146046635778
union,2024-09-26,sz300308,1,0.5,9,1,True,True,"sh688041,sz300502",0.10439818437940218
union,2024-09-27,sz300308,0.50066108972919066,0.5,10,2,False,False,,0.054138192862566603
union,2024-10-08,sz002371,0.41284004399265262,1,4,1,False,False,,0.019800444953819163
union,2024-10-09,sz002371,0.20407257226791348,1,5,2,False,False,,-0.00022449095837517863
union,2024-11-13,sz300502,0.22742048397781714,1,3,1,False,False,,-0.12894608014546471
union,2024-11-14,sz300502,0.23252203417596537,1,4,2,False,False,,-0.045667566975691631
union,2024-12-10,sh688041,0.56225769675671022,1,5,1,True,False,sh688249,0.15081876342471778
union,2024-12-20,sz300502,0.49708547163994671,1,8,1,True,False,sh688205,-0.0078832658360900032
union,2024-12-24,sh688041,0.4684979993331248,1,4,1,False,False,,-0.058999152065326577
union,2024-12-25,sh688041,0.46740964031215287,1,5,2,False,False,,-0.16684700142773912
union,2025-01-10,sh688256,1,0,4,1,False,False,,-0.094924177653782138
union,2025-01-13,sh688256,1,0,5,2,False,False,,-0.12669039589321018
union,2025-01-23,sz300502,0.35891373300412233,1,6,1,False,False,,-0.30152178020668308
union,2025-01-24,sz300502,0.35172752413899044,1,7,2,False,False,,-0.32185181901468807
union,2025-02-11,sh603986,0.74085247900695927,0.5,5,1,False,False,,-0.043789030170792165
union,2025-02-12,sh603986,0.73786027275829147,0.5,6,2,False,False,,-0.048547314960041721
union,2025-02-13,sh600206,0.74668687205370754,1,6,1,False,False,,-0.020062899902396736
union,2025-02-14,sh600206,0.74954206239495602,1,7,2,False,False,,0.017384477344100313
union,2025-02-21,sh688120,0.74317042218436058,1,4,1,False,False,,-0.070763301573707249
union,2025-02-24,sh688120,0.74107226750721522,1,5,2,False,False,,-0.052328097404647833
union,2025-02-26,sh603986,0.42466100601338502,1,4,1,False,False,,-0.14600530660377364
union,2025-02-27,sh603986,0.42934769652645066,1,5,2,False,False,,-0.12144741801733883
union,2025-04-16,sh688019,0.529447459149615,0.5,4,1,False,False,,0.062389873417721509
union,2025-04-17,sh688019,0.53222048361202812,0.5,5,2,False,False,,0.014584412664587987
union,2025-04-25,sh600206,0.54064461808674202,1,9,1,False,False,,-0.059437840239973339
union,2025-04-29,sh688256,0.53909622479253305,1,10,1,False,False,,-0.14405228868913988
union,2025-04-30,sh688256,0.53981315726663481,1,11,2,False,False,,-0.15345452539006132
union,2025-05-07,sh603986,0.5377647505482388,1,10,1,False,False,,-0.0963174996131827
union,2025-05-07,sz300502,0.5377647505482388,1,10,1,False,False,,0.45382770549907692
union,2025-05-08,sh603986,0.53764382008450062,1,11,2,False,False,,-0.032270821798623839
union,2025-05-08,sz300502,0.53764382008450062,1,11,2,False,False,,0.30275432730497109
union,2025-05-09,sh600206,0.5431091224761071,1,4,1,False,False,,-0.041322314049586639
union,2025-05-09,sh688205,0.5431091224761071,1,6,1,False,False,,0.21510120896733209
union,2025-05-12,sh600206,0.84562536992323722,1,5,2,True,True,sh688019,-0.060203120092136908
union,2025-05-12,sh601869,0.84562536992323722,1,11,1,True,False,sh688019,-0.042144830139248746
union,2025-05-12,sh688205,0.84562536992323722,1,7,2,True,False,sh688019,0.26585774884087976
union,2025-05-13,sh601869,0.43664311537990669,1,12,2,False,False,,-0.043944050320245842
union,2025-06-05,sh688019,0.23545903657721021,1,3,1,False,False,,0.11257483898993326
union,2025-06-06,sh688019,0.23964226822565682,1,4,2,False,False,,0.11959351877868318
union,2025-06-30,sz002371,0.23138541664719417,1,6,1,False,False,,0.051752061248527603
union,2025-07-01,sz002371,0.23284089097962299,1,7,2,False,False,,0.052643173828035517
union,2025-07-22,sh688268,0.22529265571023041,1,4,1,False,False,,0.17614314115308161
union,2025-07-23,sh688268,0.22598493470133518,1,5,2,False,False,,0.1681102362204725
union,2025-08-01,sz300776,0.20112036437142852,1,9,1,False,False,,0.19157266710170595
union,2025-08-04,sz300776,0.20147430659282914,1,10,2,False,False,,0.21003115068751788
union,2025-08-06,sh688205,0.19884076490531974,1,7,1,False,False,,0.63540873801187403
union,2025-08-07,sh688205,0.19571561412414393,1,8,2,False,False,,0.46863923562952681
union,2025-09-16,sh688498,0.78722028579014813,0.5,4,1,False,False,,0.30580417737106536
union,2025-09-18,sh688498,0.78844157459430042,1,6,1,False,False,,0.28060711653152848
union,2025-09-19,sh688498,0.78958275700539937,1,7,2,False,False,,0.30294202364848855
union,2025-10-22,sz300308,1,0,3,2,False,False,,0.099932325738777417
union,2025-10-24,sh688041,1,0,3,1,False,False,,-0.17168468866824782
union,2025-10-27,sh688041,1,0,4,2,False,False,,-0.17054109015510976
union,2025-11-28,sz300308,1,0,4,1,False,False,,0.21908471275559882
union,2025-12-01,sz300308,1,0,5,2,False,False,,0.14897579143389206
union,2025-12-05,sh688498,0.74321427096142012,1,3,1,False,False,,
union,2025-12-05,sz300502,0.74321427096142012,1,8,1,False,False,,
union,2025-12-08,sh688498,0.72662446113793966,1,4,2,False,False,,
union,2025-12-08,sz300502,0.72662446113793966,1,9,2,False,False,,
chatgpt_5,2023-03-21,sz300308,1,1,3,2,True,True,"sz300394,sz300502",1.1562396282774641
chatgpt_5,2023-05-26,sz300394,0.89748613818828937,1,4,1,True,False,,0.50457922930706767
chatgpt_5,2023-05-29,sz300394,0.89276332304852601,1,5,2,True,False,,0.32069059802351485
chatgpt_5,2023-05-30,sz300502,0.57106191717201249,1,5,1,True,False,,0.11794622489809647
chatgpt_5,2023-05-31,sz300502,0.57455960181742705,1,6,2,True,True,sz300394,0.13319865319865309
chatgpt_5,2023-07-18,sz300394,0.61961427720903617,0.5,3,2,False,False,,-0.082441653612298493
chatgpt_5,2023-10-31,sh603986,1,0,3,2,False,False,,-0.11141535265791702
chatgpt_5,2023-11-03,sh688008,1,0,5,1,False,False,,0.061154907726444607
chatgpt_5,2023-11-06,sh688008,1,0,6,2,False,False,,0.040333374975460856
chatgpt_5,2023-11-17,sz300308,0.24707857100616656,1,9,1,False,False,,0.04350423636758638
chatgpt_5,2023-11-20,sz300308,0.25418495574660743,1,10,2,False,False,,0.11121704991587222
chatgpt_5,2023-12-06,sz300308,0.20867573262843558,1,4,1,False,False,,0.03401312036508819
chatgpt_5,2023-12-07,sz300308,0.20815901462899883,1,5,2,False,False,,-0.042846738398537809
chatgpt_5,2023-12-08,sz300394,0.002505270013339033,1,5,1,False,False,,-0.15395011311220141
chatgpt_5,2023-12-11,sz300394,0.0024253504959925939,1,6,2,False,False,,-0.18815186799845485
chatgpt_5,2024-01-24,sz300502,1,1,6,1,True,False,sz300394,0.12587439172749382
chatgpt_5,2024-01-25,sz300502,0.65813667013660337,1,7,2,True,False,sz300308,0.19393306998583881
chatgpt_5,2024-02-05,sz300394,1,0,3,2,False,False,,0.31507649513212788
chatgpt_5,2024-02-07,sz300308,1,0,3,2,False,False,,0.36964713158407103
chatgpt_5,2024-02-19,sz300308,0.87657732694421475,0.5,5,1,True,False,,0.18477815063385528
chatgpt_5,2024-02-20,sz300308,0.7738858221122048,0.5,6,2,True,True,sz300502,0.091492334113417728
chatgpt_5,2024-04-17,sz300394,0.65511018090775419,0.5,4,1,True,False,,-0.16231407675240361
chatgpt_5,2024-04-18,sz300394,0.65673307001893488,0.5,5,2,True,False,,-0.16073885179344372
chatgpt_5,2024-04-19,sz300502,0.660300964554831,1,3,1,True,False,sz300394,0.29719181900877367
